Date,Opponent,Venue,Competition,Result,Position,Minute,Quando marcou,Tipo de gol,Assistência
2025-09-14,Atlético-MG,Away,Brasileirão,,LW,90',,,Não reportado
2025-09-21,São Paulo,Home,Brasileirão,,LW,90',,,Não reportado
2025-09-28,Bragantino,Away,Brasileirão,,LW,90',,,Não reportado
2025-10-01,Grêmio,Home,Brasileirão,,LW,90',,,Não reportado
2025-10-05,Ceará,Away,Brasileirão,,LW,90',,,Não reportado
2025-10-15,Corinthians,Home,Brasileirão,,LW,90',,,Não reportado
2025-10-19,Vitória,Home,Brasileirão,,LW,90',,,Não reportado
2025-10-26,Botafogo,Away,Brasileirão,,LW,90',,,Não reportado
2025-11-02,Fortaleza,Home,Brasileirão,,LW,90',,,Não reportado
2025-11-05,Palmeiras,Away,Brasileirão,,LW,90',,,Não reportado
2025-11-09,Flamengo,Away,Brasileirão,,LW,90',,,Não reportado
2025-11-19,Mirassol,Home,Brasileirão,,LW,90',,,Não reportado
2025-11-23,Internacional,Away,Brasileirão,,LW,90',,,Não reportado
2025-11-30,Sport,Home,Brasileirão,,LW,90',,,Não reportado
2025-12-03,Juventude,Away,Brasileirão,,LW,90',,,Não reportado
2025-12-07,Cruzeiro,Home,Brasileirão,,LW,90',,,Não reportado
